calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
214,,"1. Place persimmon rounds on a platter. Cut burrata ball into 5 or 6 pieces, ensuring that each piece has some of the firm outer shell (mozzarella) as well as some of the creamy inside (stracciatella and cream). Distribute burrata pieces around persimmon rounds. Drizzle with balsamic glaze and olive oil. Scatter basil leaves on top and sprinkle with pepper.","1 Fuyu persimmon, stem removed and sliced into rounds, 1 (4 ounce) ball burrata cheese, 1 ½ teaspoons balsamic glaze, 1 ½ teaspoons extra-virgin olive oil, 5 leaves fresh basil, or more to taste, 1 pinch freshly ground black pepper",Fuyu Persimmon and Burrata Caprese Salad,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/277069/fuyu-persimmon-and-burrata-caprese-salad/,"['persimmon', 'cheese', 'oil', 'basil', 'pepper']",veg,"['persimmon', 'cheese', 'oil', 'basil', 'pepper']"
243,,"1. In a large bowl, combine red apple, Granny Smith apple, nectarine, celery, dried cranberries, and walnuts. Mix in yogurt. Chill until ready to serve.","1 red apple, cored and chopped, 1 Granny Smith apple, cored and chopped, 1 nectarine, pitted and sliced, 2 stalks celery, chopped, ½ cup dried cranberries, ½ cup chopped walnuts, 1 (8 ounce) container nonfat lemon yogurt",Fabulous Fruit Salad,20 mins,4.5,20 mins,https://www.allrecipes.com/recipe/14187/fabulous-fruit-salad/,"['apple', 'apple', 'nectarine', 'celery', 'cranberry', 'walnut', 'lemon', 'yogurt']",veg,"['apple', 'apple', 'nectarine', 'celery', 'cranberry', 'walnut', 'lemon', 'yogurt']"
445,,"1. Dump instant pudding into a large mixing bowl. Add pineapple, and mix well. Mix in whipped topping. Stir in bananas, marshmallows, fruit cocktail, and mandarin oranges. Cover, and refrigerate until thoroughly chilled.","1 (20 ounce) can crushed pineapple with juice, 1 (3 ounce) package instant pistachio pudding mix, 1 (12 ounce) container frozen whipped topping, thawed, 2 large bananas, sliced, 2 cups miniature marshmallows, 1 (15.25 ounce) can fruit cocktail, drained, 1 (11 ounce) can mandarin oranges, drained",Pistachio Fluff Fruit Salad,5 mins,4.5,35 mins,https://www.allrecipes.com/recipe/14185/pistachio-fluff-fruit-salad/,"['pineapple', 'pistachio', 'banana', 'marshmallow', 'mandarin', 'orange']",veg,"['pineapple', 'pistachio', 'banana', 'marshmallow', 'mandarin', 'orange']"
140,,"1. Mix grapefruit, 1/2 cup reserved juice, and sugar in a bowl until sugar dissolves. Transfer grapefruit mixture to 8 serving cups; top each with about 1 teaspoon gin. Sprinkle minced mint over each cup. Garnish each cup with 1 mint leaf.","8 cups refrigerated grapefruit, drained and juice reserved, ¼ cup white sugar, 3 fluid ounces gin, 8 leaves fresh mint, minced, 8 whole mint leaves",Drunken Grapefruit Salad,15 mins,5.0,15 mins,https://www.allrecipes.com/recipe/222944/drunken-grapefruit-salad/,"['grapefruit', 'sugar', 'gin', 'mint', 'mint']",veg,"['grapefruit', 'sugar', 'gin', 'mint', 'mint']"
133,,"1. In a medium bowl, toss together mango, Granny Smith apple, cashews, balsamic vinegar, cinnamon, ginger, and salt.","1 mango - peeled, seeded, and cubed, 1 Granny Smith apple - peeled, cored and diced, ¾ cup toasted cashews, 1 tablespoon balsamic vinegar, ½ teaspoon ground cinnamon, ¼ teaspoon ground ginger, 1 pinch salt",Mango Cashew Salad,15 mins,4.5,15 mins,https://www.allrecipes.com/recipe/46759/mango-cashew-salad/,"['mango', 'apple', 'cashew', 'vinegar', 'cinnamon', 'ginger', 'salt']",veg,"['mango', 'apple', 'cashew', 'vinegar', 'cinnamon', 'ginger', 'salt']"
312,,"1. Mix yogurt and brown sugar together in a bowl to make dressing. 2. Combine pear, apple, celery, raisins, cranberries, and walnuts in a bowl. Add dressing and toss well to combine. Sprinkle cinnamon and nutmeg on top. 3. Chill salad before serving, at least 30 minutes.","¼ cup plain yogurt, 1 ½ teaspoons brown sugar, 1 pear, diced, 1 apple, diced, 1 cup sliced celery (Optional), ½ cup raisins, ¼ cup dried cranberries, 2 tablespoons chopped walnuts, 1 dash ground cinnamon (Optional), 1 dash ground nutmeg (Optional)",Autumn Waldorf Salad,20 mins,4.5,50 mins,https://www.allrecipes.com/recipe/255841/autumn-waldorf-salad/,"['yogurt', 'sugar', 'pear', 'apple', 'celery', 'raisin', 'cranberry', 'walnut', 'cinnamon', 'nutmeg']",veg,"['yogurt', 'sugar', 'pear', 'apple', 'celery', 'raisin', 'cranberry', 'walnut', 'cinnamon', 'nutmeg']"
211,30 mins,"1. Place the figs, apricots, prunes, cranberries, raisins, and golden raisins into a bowl. Pour in just enough water to cover. Cover the bowl and soak overnight, at least 8 hours. 2. Pour the fruit with the soaking water into a saucepan. Stir in the pine nuts and honey. Bring to a simmer; cook, stirring occasionally, until the fruit is tender but still holds its shape, about 30 minutes. Remove from the heat; return the fruit and liquid to the bowl, being careful not to break up the fruit. Cool to room temperature.","8 ounces dried figs, 8 ounces dried apricots, 8 ounces pitted prunes, ½ cup dried cranberries, ½ cup raisins, ½ cup golden raisins, ¼ cup pine nuts, 1 tablespoon honey","Really, Truly Gorgeous Dried Fruit Salad",,4.5,9 hrs 30 mins,https://www.allrecipes.com/recipe/142113/really-truly-gorgeous-dried-fruit-salad/,"['fig', 'apricot', 'prune', 'cranberry', 'raisin', 'raisin', 'honey']",veg,"['fig', 'apricot', 'prune', 'cranberry', 'raisin', 'raisin', 'honey']"
280,,"1. Place 1 mango and the raspberry vinaigrette dressing in a blender, and blend until liquefied. 2. In a bowl, toss the remaining mango, salad greens, cilantro, and onion. Drizzle with the dressing mixture. Top each serving with equal amounts of raspberries, blackberries, strawberries, blueberries, and hazelnuts. Sprinkle with Parmesan cheese.","2 mangos - peeled, seeded, and diced, 1 cup reduced fat raspberry vinaigrette salad dressing, 8 cups mixed torn salad greens, ¼ cup chopped cilantro, ¼ cup sliced red onion, ½ cup fresh raspberries, ½ cup fresh blackberries, ½ cup fresh strawberries, halved, ½ cup fresh blueberries, ½ cup toasted hazelnuts, 4 ounces freshly grated Parmesan cheese",Mango Berry Fruit Salad,15 mins,4.5,15 mins,https://www.allrecipes.com/recipe/86623/mango-berry-fruit-salad/,"['mango', 'raspberry', 'cilantro', 'onion', 'raspberry', 'blackberry', 'strawberry', 'blueberry', 'hazelnut', 'parmesan', 'cheese']",veg,"['mango', 'raspberry', 'cilantro', 'onion', 'raspberry', 'blackberry', 'strawberry', 'blueberry', 'hazelnut', 'parmesan', 'cheese']"
99,,"1. Combine watermelon, strawberries, peaches, nectarines, pear, and grapes in a large mixing bowl. 2. Whisk lemon juice, mint, lemon zest, and honey together in a small bowl; drizzle over the fruit mixture and toss to coat. 3. Refrigerate 1 hour before serving.","4 cups cubed seeded watermelon, 2 cups sliced fresh strawberries, 2 large fresh peaches, cut into cubes, 2 large nectarines, cut into cubes, 1 red Anjou pear, cut into cubes, 1 cup seedless grapes, halved, 2 lemons, juiced, ¼ cup minced fresh mint (chocolate mint preferred), ½ lemon, zested, 1 tablespoon honey (fireweed honey preferred)","Summer Fruit Salad with a Lemon, Honey, and Mint Dressing",20 mins,5.0,1 hr 20 mins,https://www.allrecipes.com/recipe/228231/summer-fruit-salad-with-a-lemon-honey-and-mint-dressing/,"['watermelon', 'strawberry', 'peach', 'nectarine', 'pear', 'grape', 'lemon', 'mint', 'mint', 'lemon', 'honey', 'honey']",veg,"['watermelon', 'strawberry', 'peach', 'nectarine', 'pear', 'grape', 'lemon', 'mint', 'mint', 'lemon', 'honey', 'honey']"
165,,"1. Use a melon baller to hollow out watermelon and cantaloupe into a large bowl. 2. Add drained pineapple, blueberries, plums, green and purple grapes to the bowl with the melons. Gently mix all fruit together and serve.","½ watermelon, 1 cantaloupe, peeled and seeded, 1 (15 ounce) can pineapple chunks, drained, 1 pint blueberries, rinsed and drained, 4 plums, pitted and chopped, 1 cup green seedless grapes, 1 cup red seedless grapes",Rainbow Fruit Salad,20 mins,3.5,20 mins,https://www.allrecipes.com/recipe/24828/rainbow-fruit-salad/,"['watermelon', 'cantaloupe', 'pineapple', 'blueberry', 'plum', 'grape', 'grape']",veg,"['watermelon', 'cantaloupe', 'pineapple', 'blueberry', 'plum', 'grape', 'grape']"
