calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
84,,"1. Into a tall glass, pour soda and grenadine over ice. Add cherry and straw.","6 fluid ounces lemon-lime flavored carbonated beverage, 1 dash grenadine syrup, 1 maraschino cherry",Shirley Temple,2 mins,4.5,2 mins,https://www.allrecipes.com/recipe/14895/shirley-temple/,"['grenadine', 'syrup', 'maraschino', 'cherry']",veg,"['grenadine', 'syrup', 'maraschino', 'cherry']"
90,,"1. In a blender, combine raspberry juice, raspberry sherbet and carbonated water. Blend until smooth. Pour into glasses and serve.","1 ½ cups raspberry juice, 3 scoops raspberry sherbet, ½ cup carbonated water",RaSpBeRrY FiZzLeR,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/23535/raspberry-fizzler/,"['raspberry', 'raspberry', 'water']",veg,"['raspberry', 'raspberry', 'water']"
34,,"1. Place apple in a glass jar with a tight-fitting lid. Add apple cider vinegar, sugar, and grated ginger; stir well. Close tightly. Let sit in the refrigerator, 4 to 5 days. 2. Strain syrupy liquid into a clean bottle, discarding apple scraps. Close tightly and chill.","1 Granny Smith apple, shredded, ⅓ cup unfiltered apple cider vinegar, ¼ cup white sugar, 1 teaspoon grated fresh ginger",Tart Apple-Ginger Shrub,10 mins,5.0,4 days 10 mins,https://www.allrecipes.com/recipe/245685/tart-apple-ginger-shrub/,"['apple', 'apple', 'vinegar', 'sugar', 'ginger']",veg,"['apple', 'apple', 'vinegar', 'sugar', 'ginger']"
83,,"1. To make Ice ring: Fill a ring-shaped cake pan to 1/2 with ginger ale. Freeze until partially frozen. At this stage you can place edible flowers, or pieces of fruit around the ring. Fill pan with ginger ale and freeze until solid. Place in punch bowl just before serving. 2. In a large punch bowl, combine 1 bottle ginger ale, pineapple juice and white grape juice.","2 (2 liter) bottles ginger ale, chilled, 1 (46 fluid ounce) can pineapple juice, chilled, 1 (64 fluid ounce) bottle white grape juice, chilled",Mock Champagne,1 day 15 mins,4.5,1 day 15 mins,https://www.allrecipes.com/recipe/32333/mock-champagne/,"['ginger', 'pineapple', 'grape']",veg,"['ginger', 'pineapple', 'grape']"
190,,"1. Fill a tall glass half full with ice. Fill to 2/3 with carbonated water. Pour in watermelon and passion fruit flavored syrups, then float the half-and-half cream on top. Stir when ready to drink.","8 fluid ounces carbonated water, ¾ fluid ounce passion fruit flavored syrup, ¾ fluid ounce watermelon flavored syrup, 1 fluid ounce half-and-half cream",Italian Cream Soda,1 min,4.5,1 min,https://www.allrecipes.com/recipe/18943/italian-cream-soda/,"['water', 'syrup', 'watermelon', 'syrup', 'cream']",veg,"['water', 'syrup', 'watermelon', 'syrup', 'cream']"
106,,"1. In a pitcher, mix cranberry-raspberry juice with lemon-lime soda. Pour over ice and serve.","12 fluid ounces cranberry-raspberry juice, 1 (12 fluid ounce) can or bottle lemon-lime flavored carbonated beverage",Tornado Twist,1 min,5.0,1 min,https://www.allrecipes.com/recipe/23540/tornado-twist/,[],veg,[]
140,,"1. Wash and sterilize a bowl or jar. Add blackberries; cover with sugar. Add thyme and sage. Stir well to combine. Cover with a lid or plastic wrap. Refrigerate, stirring occasionally, until a pool of juice and syrup forms around the blackberries, 1 to 2 days. 2. Remove thyme and sage from the bowl. Place a fine mesh strainer over a separate bowl and pour in blackberry mixture. Press lightly on the solids to expel all the juice. 3. Sterilize a glass jar or bottle. Pour in juice and add vinegar. Cover with a lid and shake gently to dissolve any remaining sugar. Let rest until flavors intensify, at least 1 day.","2 cups fresh blackberries - rinsed, drained, and lightly crushed, 2 cups white sugar, 2 sprigs fresh thyme, or to taste, 2 sprigs fresh sage, or to taste, 1 cup white vinegar",Shrub,20 mins,,2 days 20 mins,https://www.allrecipes.com/recipe/260107/shrub/,"['blackberry', 'sugar', 'thyme', 'sage', 'vinegar']",veg,"['blackberry', 'sugar', 'thyme', 'sage', 'vinegar']"
161,,"1. Fill a glass with ice. Pour orange juice, pineapple juice, and cranberry juice over the ice and stir. Float a splash of grenadine syrup atop the mixture and serve.","ice cubes, ¼ cup orange juice, ¼ cup pineapple juice, ¼ cup cranberry juice, 1 splash grenadine syrup",Virgin Sunset,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/234067/virgin-sunset/,"['ice', 'orange', 'pineapple', 'cranberry', 'grenadine', 'syrup']",veg,"['ice', 'orange', 'pineapple', 'cranberry', 'grenadine', 'syrup']"
60,,1. Combine lemonade and iced tea in a highball or tall glass. Add ice and stir until chilled.,"5 fluid ounces prepared lemonade, 5 fluid ounces prepared iced tea, 1 cup ice",The Arnold Palmer,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/221303/the-arnold-palmer/,"['lemonade', 'tea', 'ice']",veg,"['lemonade', 'tea', 'ice']"
120,,"1. Combine 2 cups water and the sugar in a microwave-safe bowl; heat in microwave on High for 5 minutes. Stir the mint into the water; let stand for 5 minutes. Strain and discard the mint leaves from the syrup; set aside. 2. Stir the lime sherbet, lime juice, and 1 cup water together in a large pitcher until well combined. Pour the mint-infused syrup into the mixture. Add club soda and stir. Serve over ice. Garnish with lime slices.","2 cups water, 1 ½ cups white sugar, 2 cups mint leaves, chopped, 2 cups lime sherbet, softened, 1 cup lime juice, 1 cup water, 8 cups club soda, lime slices for garnish",Alcohol-Free Mojitos,15 mins,5.0,15 mins,https://www.allrecipes.com/recipe/215613/alcohol-free-mojitos/,"['water', 'sugar', 'mint', 'lime', 'lime', 'water', 'soda', 'lime']",veg,"['water', 'sugar', 'mint', 'lime', 'lime', 'water', 'soda', 'lime']"
148,,"1. Combine ginger ale, cranberry juice, pineapple juice, and orange juice concentrate in a large punch bowl. Stir in ice.","2 quarts ginger ale, 1 (46 fluid ounce) bottle cranberry juice, 1 (46 fluid ounce) can pineapple juice, 1 (12 fluid ounce) can frozen orange juice concentrate, ice cubes",Pink Champagne Mocktail,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/255557/pink-champagne-mocktail/,"['ginger', 'cranberry', 'pineapple', 'orange', 'ice']",veg,"['ginger', 'cranberry', 'pineapple', 'orange', 'ice']"
155,,"1. Place watermelon and 1 1/2 cups water in a blender, and process at high speed until combined, about 1 minute. Add cucumber, lime juice, and sugar; blend until smooth. Pour mixture through a fine mesh strainer and using a spatula, press to remove the pulp. Don't skip this step, it's important. 2. Pour the strained mixture into a large pitcher, add remaining 1 cup water, and stir well. Refrigerate for at least 1 hour or longer. 3. Sprinkle some Tajin® (chili lime seasoning) onto a small plate. Run the lime wedge around the top of the glass, invert the glass, and dip the rim into the seasoning. 4. Fill the glass with ice, pour in the agua fresca, garnish with watermelon slices or wedges, and lime slices.","4 cups cubed seeded watermelon, 2 ½ cups water, divided, 1 cup peeled, chopped cucumber, ¼ cup freshly squeezed lime juice, 1 tablespoon white sugar, 1 teaspoon chili-lime seasoning (such as Tajin®), 1 wedge fresh lime, ice as needed, 4 slices watermelon, 4 slices lime",Watermelon-Cucumber Agua Fresca,15 mins,4.0,1 hr 15 mins,https://www.allrecipes.com/recipe/285328/watermelon-cucumber-agua-fresca/,"['watermelon', 'water', 'cucumber', 'lime', 'sugar', 'lime', 'ice', 'watermelon', 'lime']",veg,"['watermelon', 'water', 'cucumber', 'lime', 'sugar', 'lime', 'ice', 'watermelon', 'lime']"
89,,"1. Pour the lemon-lime soda into a punch bowl, and stir in the instant iced tea mix. Float the orange and lemon slices in the punch, and add ice. Serve immediately.","1 (2 liter) bottle lemon-lime flavored carbonated beverage, 3 tablespoons lemon iced tea mix, 2 oranges, sliced into rounds, 1 lemon, sliced into rounds, 3 cups ice",Monica's Baptist Sangria,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/75624/monicas-baptist-sangria/,"['lemon', 'tea', 'orange', 'lemon', 'ice']",veg,"['lemon', 'tea', 'orange', 'lemon', 'ice']"
